#From https://arxiv.org/pdf/0805.2608.pdf Kachelriess
Energy,flux
1.576e+14,1.509e+13
2.445e+14,2.977e+13
3.931e+14,6.580e+13
6.097e+14,1.314e+14
9.456e+14,2.645e+14
1.468e+15,5.163e+14
2.365e+15,1.013e+15
3.959e+15,2.007e+15
6.887e+15,3.880e+15
1.244e+16,7.584e+15
2.423e+16,1.497e+16
5.982e+16,3.582e+16
2.845e+17,8.400e+16
1.337e+18,1.149e+17
4.548e+18,7.304e+16
8.806e+18,3.671e+16
1.359e+19,1.791e+16
1.947e+19,8.191e+15
2.583e+19,3.887e+15
3.182e+19,1.742e+15
3.767e+19,8.333e+14
4.633e+19,3.955e+14
5.336e+19,1.210e+14
5.866e+19,5.400e+13
6.393e+19,2.018e+13
7.353e+19,1.134e+13
