ch,factor,R,IceAttenFactor,mag,fresnel
5,4.233212e-04,4.702367e+02,7.504354e-01,2.652609e-01,1.000000e+00 
13,3.154521e-04,4.697318e+02,7.512426e-01,1.972437e-01,1.000000e+00 
6,2.963256e-04,4.880328e+02,7.423891e-01,1.947989e-01,1.000000e+00 
14,7.174316e-05,4.874833e+02,7.433245e-01,4.705023e-02,1.000000e+00 
2,6.260283e-04,4.855374e+02,7.475335e-01,4.066174e-01,1.000000e+00 
10,6.926771e-04,4.852289e+02,7.484366e-01,4.490787e-01,1.000000e+00 
7,4.220206e-04,4.849943e+02,7.431582e-01,2.754159e-01,1.000000e+00 
15,3.277275e-04,4.844774e+02,7.439599e-01,2.134209e-01,1.000000e+00 
4,3.989858e-04,4.730395e+02,7.491896e-01,2.519203e-01,1.000000e+00 
12,2.970438e-04,4.725862e+02,7.499250e-01,1.871905e-01,1.000000e+00 
0,5.935541e-04,4.705016e+02,7.541417e-01,3.703125e-01,1.000000e+00 
8,6.608277e-04,4.702140e+02,7.549023e-01,4.116167e-01,1.000000e+00 
