snr,a2_eff,a2_err,a3_eff,a3_err
4.0,0.0004,0.0001,0.0006,0.0002
5.0,0.0112,0.0009,0.0068,0.0006
6.0,0.0939,0.0033,0.0944,0.0031
7.0,0.2905,0.0073,0.2884,0.0069
8.0,0.4719,0.0114,0.3603,0.0145
9.0,0.5854,0.0146,0.5275,0.0131
10.0,0.6367,0.0170,0.5693,0.0151
11.0,0.6633,0.0185,0.6065,0.0170
12.0,0.6890,0.0206,0.6143,0.0184
13.0,0.6929,0.0218,0.6053,0.0191
14.0,0.7138,0.0241,0.6229,0.0210
15.0,0.7054,0.0251,0.6159,0.0221
16.0,0.7113,0.0256,0.6123,0.0225
17.0,0.6954,0.0268,0.6250,0.0245
18.0,0.6963,0.0290,0.6128,0.0258
19.0,0.7119,0.0298,0.6155,0.0263
20.0,0.7277,0.0323,0.6240,0.0285
21.0,0.7309,0.0334,0.6204,0.0289
22.0,0.7256,0.0338,0.6322,0.0295
23.0,0.7286,0.0348,0.6498,0.0313
24.0,0.7673,0.0057,0.6689,0.0056
