year,month,day,hour,min,second,minsincemidnight,phi,theta,predictphi,predicttheta
2011,2,15,2,1,37,121,-61.226944,29,-63.283143,77.180529
2011,2,15,2,2,1,122,-62.226944,28,-63.033155,77.180660
2011,2,15,2,4,12,124,-62.226944,23,-62.533180,77.181378
2011,2,15,2,4,33,124,-60.226944,24,-62.533180,77.181493
2011,2,15,2,4,43,124,-61.226944,26,-62.533180,77.181547
2011,2,15,2,4,58,124,-61.226944,24,-62.533180,77.181629
2011,2,15,2,5,2,125,-61.226944,22,-62.283192,77.181651
2011,2,15,2,5,3,125,-62.226944,26,-62.283192,77.181657
2011,2,15,2,5,4,125,-60.226944,25,-62.283192,77.181662
2011,2,15,2,5,4,125,-59.226944,24,-62.283192,77.181662
2011,2,15,2,5,4,125,-63.226944,27,-62.283192,77.181662
2011,2,15,2,5,5,125,-61.226944,22,-62.283192,77.181668
2011,2,15,2,5,5,125,-61.226944,25,-62.283192,77.181668
2011,2,15,2,5,9,125,-61.226944,24,-62.283192,77.181690
2011,2,15,2,5,10,125,-61.226944,26,-62.283192,77.181695
2011,2,15,2,5,12,125,-61.226944,26,-62.283192,77.181706
2011,2,15,2,5,12,125,-61.226944,24,-62.283192,77.181706
2011,2,15,2,5,13,125,-61.226944,25,-62.283192,77.181711
2011,2,15,2,5,17,125,-61.226944,26,-62.283192,77.181733
2011,2,15,2,5,18,125,-59.226944,24,-62.283192,77.181739
2011,2,15,2,5,19,125,-61.226944,24,-62.283192,77.181744
2011,2,15,2,5,19,125,-61.226944,26,-62.283192,77.181744
2011,2,15,2,5,22,125,-61.226944,22,-62.283192,77.181761
2011,2,15,2,5,26,125,-61.226944,26,-62.283192,77.181783
2011,2,15,2,5,29,125,-60.226944,23,-62.283192,77.181799
2011,2,15,2,5,30,125,-60.226944,28,-62.283192,77.181804
2011,2,15,2,5,30,125,-61.226944,26,-62.283192,77.181804
2011,2,15,2,5,31,125,-61.226944,24,-62.283192,77.181810
2011,2,15,2,5,31,125,-60.226944,24,-62.283192,77.181810
2011,2,15,2,5,32,125,-61.226944,24,-62.283192,77.181815
2011,2,15,2,5,33,125,-60.226944,27,-62.283192,77.181821
2011,2,15,2,5,34,125,-60.226944,26,-62.283192,77.181826
2011,2,15,2,5,37,125,-61.226944,24,-62.283192,77.181843
2011,2,15,2,5,38,125,-61.226944,22,-62.283192,77.181848
2011,2,15,2,5,39,125,-61.226944,24,-62.283192,77.181854
2011,2,15,2,5,41,125,-61.226944,25,-62.283192,77.181864
2011,2,15,2,5,42,125,-60.226944,26,-62.283192,77.181870
2011,2,15,2,5,43,125,-61.226944,24,-62.283192,77.181875
2011,2,15,2,5,44,125,-61.226944,23,-62.283192,77.181881
2011,2,15,2,5,44,125,-60.226944,27,-62.283192,77.181881
2011,2,15,2,5,44,125,-60.226944,26,-62.283192,77.181881
2011,2,15,2,5,47,125,-60.226944,27,-62.283192,77.181897
