Name,RA,DEC,P1/Jy,d/Mpc,type
3C 31,16.85,32.41,7,74,FR-I
3C 40,21.50,-1.34,8,77,FR-I
3C 66B,35.79,42.99,12,92,FR-I
PKS 0238-084,40.27,-8.26,0.5,21,BLU
3C 83.1,49.57,41.85,10,109,FR-I
Fornax A∗,50.67,-37.21,163,25,FR-I
3C 111∗b,64.59,38.03,19,212,FR-II/SSRQ
3C 129,72.29,45.01,10,91,FR-I
Pictor A∗,79.96,-45.78,80,155,FR-II
Hydra A∗,139.52,-12.10,62,247,FR-I
3C 270∗,184.85,5.82,23,32,FR-I
Virgo A∗,187.71,12.39,283,15,FR-I
3C 278,193.65,-12.56,10,75,FR-I
PKS 1333-33,204.16,-33.97,11,45,FR-I/II
3C 310,226.24,26.02,11,246,FR-I
PKS 1610-60∗,243.77,-60.91,70,78,FR-I
3C 353∗,260.11,-0.97,75,143,FR-II
PKS 1814-63∗b,274.90,-63.76,18,290,BLU
3C 390.3,280.54,79.77,15,250,FR-II
PKS 2104-25,316.86,-25.42,17,173,FR-I
PKS 2153-69∗,329.27,-69.69,35,128,FR-I/II
3C 33,17.22,13.34,16,260,FR-II
PKS 0131-36,23.49,-36.49,9,130,FR-I/II
3C 66,35.61,43.01,12,291,FR-I
3C 78,47.11,4.11,9,123,FR-I
Perseus A∗b,49.95,41.51,7,76,BLU
3C 98,59.73,10.43,13,132,FR-II
3C 120∗b,68.30,5.35,3,143,BLU
3C 134,76.18,38.10,13,—†,FR-II
PKS 0521-36∗b,80.74,-36.46,21,249,SSRQ
3C 264,176.27,19.61,8,104,FR-I
3C 272.1,186.27,12.89,8,15,FR-I
PKS 1245-41,192.21,-41.31,5,43,FR-I
Centaurus A∗,201.37,-43.02,300,4,FR-I
Centaurus B∗,206.70,-60.41,140,54,FR-I
3C 317,229.19,7.02,8,162,FR-I
4C +39.49,253.47,39.76,0.5,155,BLO
3C 371,271.71,69.82,1,228,BLU
3C 386,279.61,17.20,9,81,FR-I
Cygnus A∗,299.87,40.73,2225,250,FR-II
3C 430,319.58,60.80,10,246,FR-II
3C 465,354.62,27.03,11,132,FR-I
