NZ_Time,depth
11:00,0
11:10,120
11:16,200
11:26,315
11:32,400
11:36,445
11:41,500
11:45,550
11:48,590
11:54,650
11:58,700
12:05,775
12:09,820
12:16,890
12:20,935
12:26,1000
12:32,1065
12:37,1116
12:41,1150
12:47,1200
12:52,1252
12:58,1300
13:04,1350
13:10,1400
13:17,1456
13:28,1500
13:35,1600
13:39,1620
14:00,1620
14:17,1550
14:23,1500
14:30,1446
14:34,1410
14:40,1365
14:46,1315
14:53,1250
14:58,1200
15:05,1130
15:09,1100
15:14,1050
15:20,1000
15:23,960
15:33,845
15:40,770
15:45,720
15:55,600
16:03,500
16:13,383
16:20,288
16:25,217
16:30,150
16:39,40
16:43,0
