NZ_Time,depth
12:45,0
12:53,85
13:00,150
13:07,223
13:10,267
13:15,325
13:21,400
13:25,450
13:28,500
13:33,550
13:37,600
13:43,660
13:46,700
13:55,800
14:06,915
14:12,975
14:19,1050
14:34,1200
14:43,1271
14:57,1271
15:05,1232
15:10,1190
15:15,1150
15:17,1135
15:26,1135
15:30,1170
15:39,1255
15:45,1300
15:50,1350
15:56,1400
16:05,1450
16:07,1471
16:33,1471
16:40,1420
16:47,1360
16:54,1300
17:05,1207
17:12,1185
17:30,1000
17:37,930
17:39,922
17:40,922
17:50,1045
17:51,1045
17:56,1000
18:05,910
18:14,800
18:19,750
18:23,700
18:27,670
18:30,670
18:35,600
18:39,550
18:43,500
18:47,450
18:51,400
18:55,350
18:59,300
19:03,250
19:06,200
19:10,150
19:15,100
19:19,50
19:25,0
