station day Pol depth SNRMax
1 361 0 -981.602 0
1 361 0 -978.398 0
1 361 0 -975.195 0
1 361 0 -971.992 0
1 361 0 -968.789 0
1 361 0 -965.586 0
1 361 0 -962.383 0
1 361 0 -959.18 0
1 361 0 -955.977 0
1 361 0 -952.773 0
1 361 0 -949.57 6.97221
1 361 0 -946.367 0
1 361 0 -943.164 0
1 361 0 -939.961 7.03636
1 361 0 -936.758 7.51595
1 361 0 -933.555 0
1 361 0 -930.352 7.79245
1 361 0 -927.148 0
1 361 0 -923.945 7.90356
1 361 0 -920.742 7.84188
1 361 0 -917.539 0
1 361 0 -914.336 0
1 361 0 -911.133 7.16607
1 361 0 -907.93 0
1 361 0 -904.727 0
1 361 0 -901.523 6.21352
1 361 0 -898.32 0
1 361 0 -895.117 0
1 361 0 -891.914 0
1 361 0 -888.711 5.9822
1 361 0 -885.508 0
1 361 0 -882.305 0
1 361 0 -879.102 5.7997
1 361 0 -875.898 0
1 361 0 -872.695 0
1 361 0 -869.492 6.15416
1 361 0 -866.289 0
1 361 0 -863.086 0
1 361 0 -859.883 6.07513
1 361 0 -856.68 0
1 361 0 -853.477 0
1 361 0 -850.273 6.2174
1 361 0 -847.07 5.16424
1 361 0 -843.867 0
1 361 0 -840.664 4.89269
1 361 0 -837.461 3.67885
1 361 0 -834.258 3.83823
1 361 0 -831.055 3.54812
1 361 0 -827.852 4.9616
1 361 0 -824.648 0
1 361 0 -821.445 0
1 361 0 -818.242 4.18071
1 361 0 -815.039 0
1 361 0 -811.836 0
1 361 0 -808.633 3.70419
1 361 0 -805.43 3.84021
1 361 0 -802.227 0
1 361 0 -799.023 0
1 361 0 -795.82 4.143
1 361 0 -792.617 0
1 361 0 -789.414 3.44767
1 361 0 -786.211 3.89758
1 361 0 -783.008 0
1 361 0 -779.805 0
1 361 0 -776.602 0
1 361 0 -773.398 4.05629
1 361 0 -770.195 2.83369
1 361 0 -766.992 0
1 361 0 -763.789 0
1 361 0 -760.586 3.30273
1 361 0 -757.383 0
1 361 0 -754.18 0
1 361 0 -750.977 2.00236
1 361 0 -747.773 3.19352
1 361 0 -744.57 0
1 361 0 -741.367 0
1 361 0 -738.164 1.93189
1 361 0 -734.961 2.25194
1 361 0 -731.758 0
1 361 0 -728.555 0
1 361 0 -725.352 2.21704
1 361 0 -722.148 2.24679
1 361 0 -718.945 0
1 361 0 -715.742 0
1 361 0 -712.539 2.54271
1 361 0 -709.336 2.55987
1 361 0 -706.133 0
1 361 0 -702.93 0
1 361 0 -699.727 3.28195
1 361 0 -696.523 2.96074
1 361 0 -693.32 0
1 361 0 -690.117 0
1 361 0 -686.914 3.87209
1 361 0 -683.711 3.69136
1 361 0 -680.508 0
1 361 0 -677.305 0
1 361 0 -674.102 4.47488
1 361 0 -670.898 0
1 361 0 -667.695 0
1 361 0 -664.492 0
1 361 0 -661.289 5.32622
1 361 0 -658.086 0
1 361 0 -654.883 0
1 361 0 -651.68 6.04087
1 361 0 -648.477 6.78915
1 361 0 -645.273 0
1 361 0 -642.07 7.58619
1 361 0 -638.867 8.01746
1 361 0 -635.664 0
1 361 0 -632.461 8.63185
1 361 0 -629.258 9.74448
1 361 0 -626.055 0
1 361 0 -622.852 10.8272
1 361 0 -619.648 11.9279
1 361 0 -616.445 0
1 361 0 -613.242 0
1 361 0 -610.039 12.3569
1 361 0 -606.836 0
1 361 0 -603.633 0
1 361 0 -600.43 14.2862
1 361 0 -597.227 0
1 361 0 -594.023 0
1 361 0 -590.82 0
1 361 0 -587.617 0
1 361 0 -584.414 0
1 361 0 -581.211 0
1 361 0 -578.008 0
1 361 0 -574.805 0
2 361 0 -1077.01 0
2 361 0 -1072.99 0
2 361 0 -1068.96 0
2 361 0 -1064.94 0
2 361 0 -1060.92 0
2 361 0 -1056.89 0
2 361 0 -1052.87 0
2 361 0 -1048.85 0
2 361 0 -1044.82 0
2 361 0 -1040.8 0
2 361 0 -1036.78 4.84652
2 361 0 -1032.75 0
2 361 0 -1028.73 0
2 361 0 -1024.71 0
2 361 0 -1020.68 0
2 361 0 -1016.66 0
2 361 0 -1012.64 0
2 361 0 -1008.61 0
2 361 0 -1004.59 0
2 361 0 -1000.57 0
2 361 0 -996.543 0
2 361 0 -992.52 0
2 361 0 -988.496 0
2 361 0 -984.473 0
2 361 0 -980.449 4.40354
2 361 0 -976.426 0
2 361 0 -972.402 0
2 361 0 -968.379 0
2 361 0 -964.355 0
2 361 0 -960.332 3.7919
2 361 0 -956.309 0
2 361 0 -952.285 0
2 361 0 -948.262 3.00199
2 361 0 -944.238 0
2 361 0 -940.215 3.01488
2 361 0 -936.191 0
2 361 0 -932.168 0
2 361 0 -928.145 0
2 361 0 -924.121 0
2 361 0 -920.098 0
2 361 0 -916.074 0
2 361 0 -912.051 0
2 361 0 -908.027 0
2 361 0 -904.004 0
2 361 0 -899.98 0
2 361 0 -895.957 0
2 361 0 -891.934 3.14928
2 361 0 -887.91 0
2 361 0 -883.887 0
2 361 0 -879.863 2.19805
2 361 0 -875.84 0
2 361 0 -871.816 3.73812
2 361 0 -867.793 0
2 361 0 -863.77 0
2 361 0 -859.746 3.04508
2 361 0 -855.723 0
2 361 0 -851.699 3.89445
2 361 0 -847.676 3.56762
2 361 0 -843.652 0
2 361 0 -839.629 3.61635
