,EvNum,Omega_reco,power_V,power_H,powerV_noise,powerH_noise
0,17317,5.056746638827135,48009517.899493426,7873384.337546558,2305456.86774099,7515525.90979793
2,17333,6.015862689718549,111895020.97703785,8732607.965315334,2305456.86774099,7515525.90979793
3,17344,13.346163076634825,376359336.4194183,28568485.792765517,2305456.86774099,7515525.90979793
4,17351,12.614045306805277,216824229.1101406,18258459.942286775,2305456.86774099,7515525.90979793
5,17355,13.026335198734252,227650054.44827786,19576852.663449842,2305456.86774099,7515525.90979793
6,17363,6.0953143376582215,261990023.34036455,10476799.236667125,2305456.86774099,7515525.90979793
9,17381,10.497619417620855,266679062.80995676,16592696.697079714,2305456.86774099,7515525.90979793
10,17396,6.820409983893765,328475322.6682485,12181430.380163733,2305456.86774099,7515525.90979793
11,17401,12.624812930110236,195195722.88684842,17192366.139418915,2305456.86774099,7515525.90979793
12,17410,5.665519882848366,126668230.31236844,8739471.36672563,2305456.86774099,7515525.90979793
13,17416,10.961261806463089,290866333.1724432,18339864.746861823,2305456.86774099,7515525.90979793
14,17422,5.564551456617145,188776292.33550635,9285483.735977123,2305456.86774099,7515525.90979793
15,17426,9.518437857736881,189968758.91188952,12791563.749367917,2305456.86774099,7515525.90979793
16,17432,8.064059864986282,237968496.98272973,12246119.550175728,2305456.86774099,7515525.90979793
17,17437,25.965443349707016,35144404.49519305,15303465.112496845,2305456.86774099,7515525.90979793
18,17441,4.383055130915564,163187416.85055417,8460701.749973703,2305456.86774099,7515525.90979793
20,17451,2.7396280185292783,214923279.38835135,8002381.220563015,2305456.86774099,7515525.90979793
21,17460,4.731986765811017,48202080.39654775,7830011.330904909,2305456.86774099,7515525.90979793
23,17472,6.534730469486384,238510144.92958617,10614916.271626025,2305456.86774099,7515525.90979793
25,17484,7.1407277748689175,209264519.48854464,10763687.373966632,2305456.86774099,7515525.90979793
26,17487,9.490361052574743,48611641.32233699,8809584.605681317,2305456.86774099,7515525.90979793
27,17495,8.268411439481211,197367177.0224006,11634888.90851877,2305456.86774099,7515525.90979793
28,17502,7.616604539552358,170711856.23302832,10526963.136535283,2305456.86774099,7515525.90979793
29,17508,15.480538457547699,142494485.3869324,18268889.32202715,2305456.86774099,7515525.90979793
31,17520,12.72136591318377,54681917.58740647,10184828.829959363,2305456.86774099,7515525.90979793
33,17536,13.847560239274598,169619072.70095,17682199.408885553,2305456.86774099,7515525.90979793
35,17552,9.923112888198263,57997199.39250372,9219987.352752253,2305456.86774099,7515525.90979793
36,17559,10.479475771996738,240344830.92859116,15659653.712106813,2305456.86774099,7515525.90979793
38,17569,9.194930640749176,299464323.3624021,15302023.375612216,2305456.86774099,7515525.90979793
39,17578,16.213962617513893,40809248.4166442,10771386.735857418,2305456.86774099,7515525.90979793
40,17584,19.199932867956957,154949931.9094313,26026413.74832369,2305456.86774099,7515525.90979793
41,17593,16.599359132590198,33469396.220816303,10284880.337988053,2305456.86774099,7515525.90979793
45,17630,9.488616583899548,172903511.2303121,12281222.835288212,2305456.86774099,7515525.90979793
46,17635,5.531598260302662,216648422.8383587,9525867.159855613,2305456.86774099,7515525.90979793
47,17639,2.7767240328350926,214502272.3750264,8014685.49505295,2305456.86774099,7515525.90979793
52,17685,17.029135230184774,159636597.74176794,22275012.987993497,2305456.86774099,7515525.90979793
54,17698,5.9595602230203655,258150763.7784049,10303578.362479584,2305456.86774099,7515525.90979793
57,17721,7.647566035244704,201990688.14597023,11115727.804011887,2305456.86774099,7515525.90979793
58,17727,13.284201246448177,98868299.56155069,12898196.440997038,2305456.86774099,7515525.90979793
59,17745,12.584444411548553,129842807.4124111,13871571.69404247,2305456.86774099,7515525.90979793
60,17751,9.276975307273414,170561138.0475815,12004781.975257738,2305456.86774099,7515525.90979793
61,17758,2.0189267305714114,187945445.92366984,7746214.96028896,2305456.86774099,7515525.90979793
62,17763,12.51383412822057,138868699.72191077,14242755.81973741,2305456.86774099,7515525.90979793
64,17775,2.1223916305139485,75749969.60150808,7616396.032003099,2305456.86774099,7515525.90979793
65,17782,6.623900244297251,161288917.90500933,9659482.784559324,2305456.86774099,7515525.90979793
66,17786,14.05118684480117,149003839.25750828,16704513.329703478,2305456.86774099,7515525.90979793
68,17801,16.298089935995293,65605041.21581676,12926916.565233544,2305456.86774099,7515525.90979793
70,17817,10.632480504600785,77536596.44605984,10166911.956682626,2305456.86774099,7515525.90979793
71,17833,15.541483314566806,45706691.156403966,10872266.775454007,2305456.86774099,7515525.90979793
74,17853,5.8634660157794105,142551925.85449177,8994617.673024058,2305456.86774099,7515525.90979793
78,17881,11.54404951785765,161192525.09263387,14144184.979036609,2305456.86774099,7515525.90979793
81,17897,12.830358950427831,237832585.52017927,19732515.894891027,2305456.86774099,7515525.90979793
83,17910,12.460783780631099,269893951.20705783,20582057.497817717,2305456.86774099,7515525.90979793
86,17949,9.995510821705425,183872536.2681479,13155493.476616118,2305456.86774099,7515525.90979793
87,17954,15.590706970327298,162193050.18177792,19964029.39240943,2305456.86774099,7515525.90979793
90,17976,6.651578434556466,173759746.9675784,9847195.087915387,2305456.86774099,7515525.90979793
91,17981,5.583984959967468,179872831.7863563,9212841.197623927,2305456.86774099,7515525.90979793
92,17991,19.098539628342742,57138829.82928733,14089542.631519303,2305456.86774099,7515525.90979793
93,17998,18.85288112577863,55106825.162060514,13671825.858463487,2305456.86774099,7515525.90979793
95,18024,11.259388044966688,58784850.871331856,9754025.95973336,2305456.86774099,7515525.90979793
96,18030,1.6514226388817725,192570826.42898792,7673676.758145284,2305456.86774099,7515525.90979793
97,18039,8.263556569161858,167776315.874347,11005821.736863507,2305456.86774099,7515525.90979793
98,18047,6.100296885956747,44780316.59772355,8000679.695862973,2305456.86774099,7515525.90979793
101,18085,14.126660345987618,38131835.07283272,9784822.301290363,2305456.86774099,7515525.90979793
102,18096,9.424549397990404,188199957.14029703,12637366.283335268,2305456.86774099,7515525.90979793
103,18108,3.2370125598237576,129575050.85364029,7922618.304635807,2305456.86774099,7515525.90979793
104,18130,4.601897528312183,129315475.44792213,8338407.188149163,2305456.86774099,7515525.90979793
105,18137,6.279136672540134,106116512.12498681,8772381.366727512,2305456.86774099,7515525.90979793
106,18143,11.528158082182154,30602949.156977724,8692740.419445734,2305456.86774099,7515525.90979793
107,18151,11.126532688406083,107249598.6094325,11574799.773408988,2305456.86774099,7515525.90979793
108,18157,21.939591580306534,130231325.12302437,28271254.340476368,2305456.86774099,7515525.90979793
109,18171,7.478990036165245,70634316.90108833,8693125.874447659,2305456.86774099,7515525.90979793
112,18200,8.542168505423064,117232130.43268526,10108397.16873895,2305456.86774099,7515525.90979793
113,18212,13.989056132079952,45988596.9279972,10226647.11111978,2305456.86774099,7515525.90979793
114,18220,9.772031327337531,132068165.26674707,11364580.02263622,2305456.86774099,7515525.90979793
117,18243,6.055820632360285,40292787.3755268,7943071.444523831,2305456.86774099,7515525.90979793
118,18251,11.897414231647451,93567075.83405888,11566497.424290624,2305456.86774099,7515525.90979793
122,18285,8.19138714702739,92340008.4090683,9381153.969265504,2305456.86774099,7515525.90979793
123,18289,10.731436598905836,148972646.96033555,12783508.838961665,2305456.86774099,7515525.90979793
124,18293,12.768743915265578,161547982.23879778,15693743.4329441,2305456.86774099,7515525.90979793
125,18300,5.444118274239313,53648888.45494532,7981878.330010706,2305456.86774099,7515525.90979793
126,18307,11.215506941130917,35907603.85149818,8836680.939355765,2305456.86774099,7515525.90979793
127,18312,13.239941929198617,43074219.57745467,9772415.792653104,2305456.86774099,7515525.90979793
128,18319,10.790759960862825,124306548.33312027,11947303.183312086,2305456.86774099,7515525.90979793
130,18328,14.603910518033262,61952816.75839598,11564869.464367568,2305456.86774099,7515525.90979793
132,18336,11.840093598412476,92715538.15800853,11489001.370602235,2305456.86774099,7515525.90979793
134,18349,4.68702069047334,102941670.94211712,8191987.741146564,2305456.86774099,7515525.90979793
137,18364,17.35491077364657,64490687.370406836,13588962.146783827,2305456.86774099,7515525.90979793
138,18372,10.989915088083755,93471197.52487174,10953634.622166025,2305456.86774099,7515525.90979793
141,18395,6.365515288579954,137313136.29760545,9195738.910902537,2305456.86774099,7515525.90979793
142,18400,8.215104893540742,164143363.65136412,10888725.847754851,2305456.86774099,7515525.90979793
148,18441,8.25811226970016,185617273.92028663,11376978.658780422,2305456.86774099,7515525.90979793
150,18449,7.606932560792909,98748852.16415495,9235694.20707071,2305456.86774099,7515525.90979793
151,18459,16.215414531821484,42081412.581249654,10879596.093676226,2305456.86774099,7515525.90979793
152,18463,6.234344925237296,219328530.50364956,10105406.31718627,2305456.86774099,7515525.90979793
153,18470,6.578431740075762,122749156.72936785,9117339.934501356,2305456.86774099,7515525.90979793
154,18476,9.858803124224115,130635225.98937207,11391336.377975727,2305456.86774099,7515525.90979793
155,18483,6.762651091055727,38552303.79658173,8025215.297792592,2305456.86774099,7515525.90979793
156,18489,11.845565389167808,201512323.15681273,16278892.094104791,2305456.86774099,7515525.90979793
157,18496,7.6647078845676235,114920589.3155273,9555129.419183325,2305456.86774099,7515525.90979793
158,18504,22.750452501409406,41899351.030725524,14478090.987001402,2305456.86774099,7515525.90979793
159,18508,8.67859559377204,48653975.12340266,8595387.307176188,2305456.86774099,7515525.90979793
161,18522,14.020125174991632,44611821.36137987,10153355.236324685,2305456.86774099,7515525.90979793
162,18529,5.625056621398532,105117320.99536121,8512878.418311173,2305456.86774099,7515525.90979793
163,18537,15.588699534070008,59668259.74360892,11980461.322462084,2305456.86774099,7515525.90979793
164,18543,6.04300561878544,132707261.43619551,8976940.51967098,2305456.86774099,7515525.90979793
166,18559,10.203475186060064,149912919.07297882,12297530.352863815,2305456.86774099,7515525.90979793
168,18581,14.302970934316043,49347288.25668219,10573270.145199858,2305456.86774099,7515525.90979793
169,18587,9.071078163585165,146661177.79182252,11195175.308795212,2305456.86774099,7515525.90979793
172,18608,10.495936208253958,153993953.69457418,12721986.81036074,2305456.86774099,7515525.90979793
173,18613,9.79506629404234,150764045.01225987,11940337.666924652,2305456.86774099,7515525.90979793
176,18634,13.046617623398856,219193934.48249474,19161707.9398071,2305456.86774099,7515525.90979793
179,18654,7.241368080583911,42319854.22197439,8161558.363332801,2305456.86774099,7515525.90979793
180,18658,12.05196140422609,238159773.23905724,18266761.220668808,2305456.86774099,7515525.90979793
181,18665,8.146758363522293,220248278.12344256,11981829.805681042,2305456.86774099,7515525.90979793
182,18674,9.160739878427432,40761535.144283146,8515587.190438742,2305456.86774099,7515525.90979793
184,18686,4.681688123268448,211076176.7778288,8915646.339643447,2305456.86774099,7515525.90979793
185,18690,4.803021096067188,214136679.11935848,9011112.724441856,2305456.86774099,7515525.90979793
186,18699,10.177552943114648,132139379.81532308,11699924.658489771,2305456.86774099,7515525.90979793
188,18712,3.7377095809160323,220723352.66839296,8447679.38555346,2305456.86774099,7515525.90979793
194,18749,9.727813024796083,192904187.06535164,13117070.004556721,2305456.86774099,7515525.90979793
197,18773,14.092463741771539,212557875.10055396,20766157.54466642,2305456.86774099,7515525.90979793
198,18785,10.837379841880566,240088620.69574004,16229780.966612816,2305456.86774099,7515525.90979793
199,18792,7.3624932786843384,203406448.30230424,10873041.534273187,2305456.86774099,7515525.90979793
200,18797,15.882874048395573,49045461.99629032,11299587.535017561,2305456.86774099,7515525.90979793
201,18809,7.347250382788041,58005105.03420137,8441579.696593907,2305456.86774099,7515525.90979793
202,18820,18.324812429893065,106348873.71109821,18928328.552136987,2305456.86774099,7515525.90979793
203,18826,7.80980223357852,183160652.28270534,10917794.269639442,2305456.86774099,7515525.90979793
204,18838,14.979611386161272,262076234.69994158,26113176.878884,2305456.86774099,7515525.90979793
205,18845,12.99828181617945,259192543.6942158,21203892.592056993,2305456.86774099,7515525.90979793
206,18850,12.911363800677195,87936277.15760396,12015482.654507788,2305456.86774099,7515525.90979793
208,18872,7.198793527192371,248320037.21368435,11440370.493719853,2305456.86774099,7515525.90979793
209,18877,16.629479501703333,113242122.99004622,17411711.564027205,2305456.86774099,7515525.90979793
210,18885,17.316295123453262,202470495.9983612,26972590.170862794,2305456.86774099,7515525.90979793
211,18889,10.699304924263275,269330618.05602896,17047815.691635508,2305456.86774099,7515525.90979793
212,18896,5.855985903875244,77420351.58586814,8305681.6453336,2305456.86774099,7515525.90979793
214,18915,3.2456049463330934,253126065.12342817,8322090.239219584,2305456.86774099,7515525.90979793
215,18937,8.325166416391353,111667686.01306662,9857332.030967139,2305456.86774099,7515525.90979793
216,18942,4.377230061878889,242714287.13587657,8924153.030487224,2305456.86774099,7515525.90979793
217,18947,10.50496504374717,110674991.19739011,11241681.779124022,2305456.86774099,7515525.90979793
218,18959,6.6039315143092825,267080546.07543516,11064438.755050419,2305456.86774099,7515525.90979793
219,18964,23.901137540542265,53793008.34290464,17627332.37971752,2305456.86774099,7515525.90979793
220,18974,4.098043861333197,228029420.35566583,8674219.313308578,2305456.86774099,7515525.90979793
221,18979,7.054846949722441,184006520.12766507,10298393.685600597,2305456.86774099,7515525.90979793
223,19002,6.976303260053198,207674843.2342914,10590549.393107586,2305456.86774099,7515525.90979793
224,19006,11.75143424221254,55727994.2468801,9827385.634490065,2305456.86774099,7515525.90979793
227,19040,9.592663362746402,153224405.1586452,11826209.236853536,2305456.86774099,7515525.90979793
228,19043,16.800291483273988,54421118.31899534,12266270.270784372,2305456.86774099,7515525.90979793
230,19063,8.00493098472724,50735471.8278137,8473297.376313992,2305456.86774099,7515525.90979793
231,19068,2.305980534210408,280617070.82719666,7966827.123296467,2305456.86774099,7515525.90979793
233,19080,7.182073872743088,196365431.30923766,10596985.841465518,2305456.86774099,7515525.90979793
234,19086,6.68053185116441,140761973.12245655,9415024.086083848,2305456.86774099,7515525.90979793
235,19091,7.491598110819649,188476071.44357914,10734997.190621978,2305456.86774099,7515525.90979793
237,19106,18.484767500770413,69485144.8253031,15023279.671255212,2305456.86774099,7515525.90979793
239,19117,6.343420100047662,173947081.13774535,9636734.572576955,2305456.86774099,7515525.90979793
240,19123,6.4223271351289695,221873013.54913735,10297519.993648525,2305456.86774099,7515525.90979793
243,19138,13.935325977712475,190161778.37139967,19081500.89173108,2305456.86774099,7515525.90979793
245,19158,3.894643909295442,255738394.8178756,8690132.7485496,2305456.86774099,7515525.90979793
246,19167,4.2168969735724025,99471929.88123564,8043761.254700198,2305456.86774099,7515525.90979793
248,19178,16.680792927263735,84766289.62160161,14919645.486951485,2305456.86774099,7515525.90979793
249,19186,5.112049263424963,67820470.13988933,8039843.881974957,2305456.86774099,7515525.90979793
250,19198,6.104503800806966,70470474.6562734,8295198.686091543,2305456.86774099,7515525.90979793
251,19206,9.172738978416833,133167189.76611733,10927697.720375435,2305456.86774099,7515525.90979793
252,19222,12.284603588976783,81851035.38716446,11287315.579342997,2305456.86774099,7515525.90979793
254,19233,17.283639082840633,64352517.261604734,13522650.7379539,2305456.86774099,7515525.90979793
256,19243,9.356895702208243,212271509.21023884,13216347.927501088,2305456.86774099,7515525.90979793
257,19250,0.8921895622414359,221967754.93278295,7568797.387293297,2305456.86774099,7515525.90979793
258,19258,8.509922174625764,320706184.7442761,14644057.449409576,2305456.86774099,7515525.90979793
259,19265,10.907066101240884,260210779.64028475,17092155.57490758,2305456.86774099,7515525.90979793
260,19269,5.730445649728605,255013511.96208575,10060325.396906694,2305456.86774099,7515525.90979793
261,19275,11.432931982888565,115516480.14467736,12145677.927591989,2305456.86774099,7515525.90979793
262,19281,15.268868257280435,138455687.18098512,17661559.857554406,2305456.86774099,7515525.90979793
266,19315,8.583725278775859,157253723.10204747,11045939.759930246,2305456.86774099,7515525.90979793
267,19324,3.932253268594605,264414215.60825545,8753993.002228515,2305456.86774099,7515525.90979793
269,19338,5.563884422449091,219582200.38799012,9577392.026871115,2305456.86774099,7515525.90979793
270,19343,8.711015445632105,374126414.82362854,16244334.165026003,2305456.86774099,7515525.90979793
271,19351,11.452498152986223,221910316.86662072,16528620.78293421,2305456.86774099,7515525.90979793
272,19364,10.467908173068773,232457351.531931,15372029.601814233,2305456.86774099,7515525.90979793
